,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Log2 Fold change,p value
AF366264,1.0351732145239,0.429442984600855,1.42934985041235,1.20080480677027,0.316352964051093,0.297312847003952,-0.848965881130861,1
AF529169,0.345057738174632,0.429442984600855,1.42934985041235,1.20080480677027,0.316352964051093,2.08118992902766,0.649456116339131,1
AI115009,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AI118078,12.0770208361121,14.1716184918282,41.4511456619581,12.4083163366262,8.54153002937951,18.730709361249,-0.542000961833948,1
AI182371,11744.0401187736,12395.8717505037,13066.6398825195,12610.4518124325,12724.032567099,11081.7417463783,-0.0324470874438549,1
AI314180,3066.52811915796,2543.59079779086,3085.96632704026,3179.33086005876,2633.63842572535,3106.02731265028,0.0372436074832203,1
AI314831,0.345057738174632,0.429442984600855,0.476449950137449,2.00134134461712,0.316352964051093,2.08118992902766,1.39747387258191,0.850757400241653
AI314976,629.040256692354,589.625217856973,551.252592309029,479.921654439186,542.545333347625,566.975599236536,-0.156171059661308,1
AI316807,322.628985193281,434.166857431464,495.031498192809,364.64439298924,311.607669590326,396.912650750276,-0.195685853496014,1
AI317395,1475.8119461729,1275.01622127994,1704.26147164166,1167.58254044963,796.2604105166,1081.32682455337,-0.558920104767388,0.389166352308203
AI413582,50.7234875116709,25.3371360914504,46.2156451633326,32.4217297827974,27.5227078724451,34.7856030994624,-0.32632551533051,1
AI414108,2.41540416722243,3.86498686140769,0.476449950137449,3.60241442031082,2.21447074835765,7.43282117509879,1.2382562932336,1
AI427809,4.48575059627022,3.00610089220598,3.33514965096214,3.60241442031082,4.74529446076639,3.27044131704347,0.0970031233582569,1
AI428936,6.55609702531801,9.87718864581966,26.2047472575597,12.4083163366262,14.8685893104014,21.1092121372806,0.491257278630244,1
AI429214,38.3014089373842,35.6437677218709,27.1576471578346,30.8206567071037,23.726472303832,22.8930892193043,-0.415997136221743,1
AI450353,16.2177136942077,9.01830267661795,15.7228483545358,11.6077797987793,14.8685893104014,18.730709361249,0.177345280460531,1
AI462493,276.391248277881,300.180646235997,253.94782342326,291.795568045177,271.747196119889,323.179064693296,0.0936720770877961,1
AI464131,1661.45300931085,1133.30003636165,1316.43121222977,1506.20949595885,1234.72561869141,1248.41664456959,-0.0346651974869806,1
AI467606,6.55609702531801,11.5949605842231,10.0054489528864,21.2142182529415,16.1340011666057,8.0274468691067,0.600339463813509,1
AI480653,108.693187525009,113.802390919227,63.3678433682808,111.674847029635,100.283889604196,90.6804183362053,0.0914743506145676,1
AI504432,17.5979446469062,5.58275879981111,10.9583488531613,10.8072432609325,13.603177454197,8.6220725631146,0.0374158987429886,1
AI506816,0.345057738174632,2.14721492300427,0.476449950137449,3.60241442031082,1.58176482025546,5.64894409307508,2.18283257527801,0.850757400241653
AI507597,72.8071827548474,76.870294243553,67.1794429693803,58.8394355317434,86.9970651140506,68.6792676579129,-0.0227219773221075,1
AI593442,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,1.48656423501976,0.48388126656456,1
AI597468,437.878269743608,606.802937241007,372.107411057348,473.517362136411,505.215683589596,384.42551117611,-0.0390978341331437,1
AI597479,459.271849510435,469.381182168734,478.832199888136,483.123800590574,479.907446465508,441.509577800869,-0.00441121652453526,1
AI606473,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AI607873,229.46339588613,79.4469521511581,187.244830404018,153.302746997672,151.533069780474,155.494618983067,0.0055477949628469,1
AI646023,2.41540416722243,2.14721492300427,2.38224975068725,4.40295095815767,1.58176482025546,6.24356978708299,0.605384888112178,1
AI646519,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AI661453,794.667971016178,1119.55786085443,824.734863687925,1148.36966354131,1031.62701577061,909.479998985088,0.184182400059521,1
AI662270,69.3566053731011,33.9259957834675,28.1105470581095,58.8394355317434,50.9328272122259,37.164105875494,0.178743754573386,1
AI747448,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AI836003,0.345057738174632,0.429442984600855,1.42934985041235,0.400268268923425,0.316352964051093,0.297312847003952,-0.813896714724383,1
AI837181,368.866722108682,508.889936752013,392.118308963121,415.878731411438,462.191680478647,471.835488195271,0.105780370323574,1
AI846148,78.3281065656415,77.7291802127547,69.0852427699301,62.0415816831308,55.9944746370434,66.3007648818812,-0.29455959887396,1
AI848100,673.897762655057,727.905858898449,641.778082835144,798.535196502232,678.577107889594,719.794402596567,0.100943545314005,1
AI848285,1.72528869087316,1.28832895380256,3.33514965096214,1.20080480677027,4.11258853266421,0.891938541011855,-0.237735782225531,1
AI854517,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AI854703,2.41540416722243,2.14721492300427,2.38224975068725,2.80187788246397,2.21447074835765,2.67581562303557,0.139074895833056,1
AI987944,431.667230456465,386.92812912537,466.444501184563,407.072829495123,386.266969106384,433.184818084758,-0.0628284404212103,1
AK010878,131.466998244535,121.532364642042,101.483839379277,122.081822021645,137.613539362225,113.870820402514,0.066557533975045,1
AK129341,6.55609702531801,7.30053073821453,4.28804955123704,11.6077797987793,6.01070631697076,3.27044131704347,-0.0189092728973781,1
AU015228,1.0351732145239,3.00610089220598,2.38224975068725,2.80187788246397,1.58176482025546,0.891938541011855,-0.302953835714057,1
AU015836,0.345057738174632,1.28832895380256,0.476449950137449,1.20080480677027,0.949058892153279,1.48656423501976,1.0094203996768,1
AU018091,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AU018829,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AU019823,288.123211375818,344.842716634486,288.252219833157,340.628296853834,316.036611087042,323.773690387304,0.094057536464513,1
AU019990,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AU021034,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AU021092,85.9193768054834,55.3981450135103,36.6866461605836,61.241045145284,63.5869457742697,67.490016269897,0.155767760372409,1
AU022252,707.713420996171,821.524429541435,849.510261095072,835.359877243188,682.373343458207,745.363307438907,-0.0717547447959037,1
AU022751,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AU022754,1.0351732145239,0.429442984600855,3.33514965096214,0.400268268923425,0.949058892153279,2.08118992902766,-0.265568709512511,1
AU023762,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AU023871,0.345057738174632,0.429442984600855,1.42934985041235,0.400268268923425,0.316352964051093,0.297312847003952,-0.813896714724383,1
AU040320,861.609172222057,858.456526217109,791.383367178303,1057.90903476461,987.337600803461,960.02318297576,0.257108357199514,1
AU041133,87.299607758182,151.593373564102,115.7773378834,86.0576778185363,99.0184777479921,101.383680828348,-0.247125587285823,1
AV039307,5.17586607261948,2.14721492300427,3.33514965096214,5.20348749600452,4.74529446076639,3.27044131704347,0.346975870990361,1
AV051173,3.79563511992095,9.87718864581966,2.38224975068725,8.40563364739192,12.3377655979926,3.27044131704347,0.613879813309049,1
AV320801,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AW011738,105.932725619612,92.3302416891838,117.68313768395,189.32689120078,117.366949662955,127.547211364695,0.414901980508407,1
AW046200,0.345057738174632,3.00610089220598,1.42934985041235,2.80187788246397,2.84717667645984,0.891938541011855,0.76745530684213,1
AW112010,2354.32894756552,1502.62100311839,2235.97961599505,1723.15489771534,1331.52962569105,1736.60433935008,-0.330479866575499,1
AW146020,112.833880383105,126.685680457252,131.023736287799,114.076456643176,105.978242957116,94.2481725002527,-0.239158160246366,1
AW146154,161.141963727553,148.157829687295,169.139732298795,156.504893149059,164.819894270619,168.576384251241,0.0398581181170358,1
